SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-11-2022,Single Family Residential,15961 Chamfers Farm Rd,Chesterfield,MO,63005,735000,4,2.5,Chesterfield Meadow One,4238,22651,1977,,173,29,Sold,,,https://www.redfin.com/MO/Chesterfield/15961-Chamfers-Farm-Rd-63005/home/63126961,MARIS,22034678,N,Y,38.6361756,-90.5787831
PAST SALE,May-17-2022,Single Family Residential,208 Lions Head Dr,Wildwood,MO,63005,724999,5,3.5,Lions Head,4700,158558,1989,,154,125,Sold,,,https://www.redfin.com/MO/Wildwood/208-Lions-Head-Dr-63005/home/93485772,MARIS,22019052,N,Y,38.645316,-90.675277
PAST SALE,June-4-2021,Single Family Residential,2325 Sterling Pointe Dr,Chesterfield,MO,63005,900000,5,5.5,Dunhill Farm,6572,45302,1999,,137,125,Sold,,,https://www.redfin.com/MO/Chesterfield/2325-Sterling-Pointe-Dr-63005/home/93494840,MARIS,21018859,N,Y,38.6257431,-90.5879716
PAST SALE,August-5-2021,Single Family Residential,16607 Dresser Hill Dr,Wildwood,MO,63005,599000,4,2.5,Dresser Hill,3328,143312,1985,,180,83,Sold,,,https://www.redfin.com/MO/Wildwood/16607-Dresser-Hill-Dr-63005/home/93495579,MARIS,21039076,N,Y,38.6255586,-90.6198798
PAST SALE,March-19-2021,Single Family Residential,17605 Lance Leaf Ct,Wildwood,MO,63005,745000,5,4.5,Wildhorse Village J Three,4862,36155,1993,,153,67,Sold,,,https://www.redfin.com/MO/Wildwood/17605-Lance-Leaf-Ct-63005/home/93484883,MARIS,20084860,N,Y,38.6383022,-90.646295
PAST SALE,March-3-2020,Single Family Residential,16049 Wilson Manor Dr,Chesterfield,MO,63005,715000,5,4.5,Wilson Manors II 1,4761,22216,1988,,150,33,Sold,,,https://www.redfin.com/MO/Chesterfield/16049-Wilson-Manor-Dr-63005/home/87454711,MARIS,19081753,N,Y,38.6398579,-90.583904
PAST SALE,January-14-2019,Single Family Residential,1017 Wilmas Hollow Dr Lot 7,Chesterfield,MO,63005,1039000,6,4.5,Arbors at Wilmas Farm,5550,,,,187,79,Sold,,,https://www.redfin.com/MO/Chesterfield/1017-Wilmas-Hollow-Dr-63005/unit-7/home/146786257,MARIS,18067172,N,Y,38.6574813,-90.6296331
PAST SALE,November-5-2020,Single Family Residential,16412 Quiet Creek Ct,Clarkson Valley,MO,63005,710000,4,4.0,Kehrs Mill Trails 2,4658,91476,1977,,152,92,Sold,,,https://www.redfin.com/MO/Chesterfield/16412-Quiet-Creek-Ct-63005/home/93484781,MARIS,20081220,N,Y,38.6380465,-90.5978651
PAST SALE,October-29-2020,Single Family Residential,1219 Patchwork Flds Unit Enclave II,Chesterfield,MO,63005,949000,0,,Fienup Farms,4000,,,,237,,Sold,,,https://www.redfin.com/MO/Chesterfield/1219-Patchwork-Flds-63005/unit-Enclave-II/home/174593711,MARIS,20072394,N,Y,38.6606129,-90.5965275
PAST SALE,August-16-2021,Condo/Co-op,16809 Chesterfield Blfs,Chesterfield,MO,63005,534900,4,3.5,Villas At Chesterfield Bluffs Two,2291,2614,1997,,233,485,Sold,,,https://www.redfin.com/MO/Chesterfield/16809-Chesterfield-Bluffs-Cir-63005/home/93467398,MARIS,21041748,N,Y,38.664116,-90.5819812
PAST SALE,June-27-2018,Single Family Residential,17712 Wilding Place Dr,Wildwood,MO,63005,625000,4,4.5,Wildhorse Village H,4079,24829,1993,,153,67,Sold,,,https://www.redfin.com/MO/Wildwood/17712-Wilding-Place-Dr-63005/home/93485224,MARIS,18051988,N,Y,38.6408706,-90.6411106
PAST SALE,September-30-2020,Single Family Residential,2045 Wilson Ridge Ln,Chesterfield,MO,63005,609900,4,3.5,Wilson Farm Estates 2,3353,23522,1984,,182,13,Sold,,,https://www.redfin.com/MO/Chesterfield/2045-Wilson-Ridge-Ln-63005/home/93495417,MARIS,20051423,N,Y,38.6331927,-90.5895248
PAST SALE,October-6-2021,Single Family Residential,16214 Birchbrook,Wildwood,MO,63005,400000,4,2.5,Chesterfield Valley 1 A Sec Of,2329,23087,1983,,172,,Sold,,,https://www.redfin.com/MO/Wildwood/16214-Birchbrook-Ct-63005/home/93522151,MARIS,21062469,N,Y,38.6053349,-90.5998625
PAST SALE,December-1-2022,Single Family Residential,16978 Barn Owl Lane Dr Lot 196,Chesterfield,MO,63005,1326000,4,3.5,Fienup Farms,5200,21780,,,255,,Sold,,,https://www.redfin.com/MO/Chesterfield/16978-Barn-Owl-Ln-63005/unit-196/home/177948307,MARIS,22005379,N,Y,38.659509,-90.600697
PAST SALE,May-27-2022,Single Family Residential,418 Pine Bend Dr,Wildwood,MO,63005,949500,5,4.5,Pine Creek,4859,26136,1996,,195,,Sold,,,https://www.redfin.com/MO/Wildwood/418-Pine-Bend-Dr-63005/home/93485921,MARIS,22010237,N,Y,38.638589,-90.6537026
PAST SALE,July-31-2019,Single Family Residential,1464 Chesterfield Estates Dr,Chesterfield,MO,63005,649000,4,4.5,Chesterfield Estates,2905,22651,1990,,223,23,Sold,,,https://www.redfin.com/MO/Chesterfield/1464-Chesterfield-Estates-Dr-63005/home/93476739,MARIS,19037492,N,Y,38.6496724,-90.6035063
PAST SALE,September-18-2020,Single Family Residential,501 Mustang Valley Ct,Chesterfield,MO,63005,574900,4,4.5,Estates At Baxter Pointe The,3379,10890,1999,,170,46,Sold,,,https://www.redfin.com/MO/Chesterfield/501-Mustang-Valley-Ct-63005/home/93626439,MARIS,20051490,N,Y,38.654784,-90.5807981
PAST SALE,February-28-2022,Single Family Residential,27 Seven Oaks Dr,Chesterfield,MO,63005,1500000,4,5.5,Forest Hills Club Estates Area 5a,6564,96268,1976,,229,,Sold,,,https://www.redfin.com/MO/Chesterfield/27-Seven-Oaks-Dr-63005/home/93494707,MARIS,22008825,N,Y,38.6219367,-90.5952204
PAST SALE,November-29-2018,Single Family Residential,18060 Babler Woods Rd,Wildwood,MO,63005,425000,4,5.0,Babler Woods,2356,169448,1983,,180,,Sold,,,https://www.redfin.com/MO/Wildwood/18060-Babler-Woods-Rd-63005/home/62748121,MARIS,18092090,N,Y,38.6330525,-90.6763781
PAST SALE,April-29-2022,Single Family Residential,1138 Wildhorse Parkway Dr,Chesterfield,MO,63005,775000,6,5.5,Wildhorse Village A,5376,40946,1994,,144,83,Sold,,,https://www.redfin.com/MO/Chesterfield/1138-Wildhorse-Parkway-Dr-63005/home/93477013,MARIS,22009037,N,Y,38.6509263,-90.6299293
PAST SALE,April-20-2021,Single Family Residential,2125 Riding Trail Dr,St Louis,MO,63005,800000,8,5.0,Sea Beauty Farm,4106,,1996,,195,,Sold,,,https://www.redfin.com/MO/Chesterfield/2125-Riding-Trail-Dr-63005/home/93495546,MARIS,21016293,N,Y,38.6312838,-90.5820367
PAST SALE,November-1-2021,Single Family Residential,1215 Patchwork Flds Lot 201,Chesterfield,MO,63005,1190000,5,4.5,Fienup Farms,5600,21780,,,213,,Sold,,,https://www.redfin.com/MO/Chesterfield/1215-Patchwork-Flds-63005/unit-201/home/175869584,MARIS,21007997,N,Y,38.6605889,-90.598261
PAST SALE,April-24-2019,Single Family Residential,17630 Bridgeway Dr,Chesterfield,MO,63005,679900,5,5.0,Wildhorse Village B,3885,24394,1989,,175,,Sold,,,https://www.redfin.com/MO/Chesterfield/17630-Bridgeway-Dr-63005/home/62696086,MARIS,19029087,N,Y,38.6487338,-90.6263015
PAST SALE,January-20-2020,Single Family Residential,1322 Countryside Forrest,Chesterfield,MO,63005,799900,4,4.5,Countryside At Chesterfield Three,5342,22216,1995,,150,,Sold,,,https://www.redfin.com/MO/Chesterfield/1322-Countryside-Forrest-Ct-63005/home/93476724,MARIS,20004762,N,Y,38.6531831,-90.6214898
PAST SALE,July-3-2019,Single Family Residential,1411 Highland Valley Cir,Wildwood,MO,63005,725000,4,7.5,Highlands Of Chesterfield Highland,5119,32234,1990,,142,,Sold,,,https://www.redfin.com/MO/Wildwood/1411-Highland-Valley-Cir-63005/home/93485276,MARIS,19050397,N,Y,38.6356174,-90.6276341
PAST SALE,,Single Family Residential,16745 Benton Taylor Dr,Chesterfield,MO,63005,650000,4,4.0,,4168,12197,2000,,156,,,,,https://www.redfin.com/MO/Chesterfield/16745-Benton-Taylor-Dr-63005/home/62734740,,,N,Y,38.657416,-90.5827762
PAST SALE,May-14-2019,Single Family Residential,17663 Westhampton Woods Dr,Wildwood,MO,63005,569900,5,5.5,Westhampton Woods 2,3512,22216,1998,,162,,Sold,,,https://www.redfin.com/MO/Wildwood/17663-Westhampton-Woods-Dr-63005/home/93496187,MARIS,19037723,N,Y,38.6235249,-90.6474616
PAST SALE,August-24-2021,Single Family Residential,462 Pine Bend Dr,Wildwood,MO,63005,1000000,4,4.5,Pine Creek,4194,48352,1997,,238,,Sold,,,https://www.redfin.com/MO/Wildwood/462-Pine-Bend-Dr-63005/home/93485930,MARIS,21042915,N,Y,38.6415246,-90.6562214
PAST SALE,,Single Family Residential,867 Stone Meadow Dr,Chesterfield,MO,63005,405000,2,2.5,,2737,3485,1999,,148,,,,,https://www.redfin.com/MO/Chesterfield/867-Stone-Meadow-Dr-63005/home/93626482,,,N,Y,38.6511204,-90.5787055
PAST SALE,,Single Family Residential,310 Oak Stand Ct,Chesterfield,MO,63005,775000,4,3.5,,3715,9583,2013,,209,,,,,https://www.redfin.com/MO/Chesterfield/310-Oak-Stand-Ct-63005/home/93329793,,,N,Y,38.6583109,-90.5780573
PAST SALE,December-1-2020,Single Family Residential,208 Vonbehren Dr,Chesterfield,MO,63005,489900,4,3.5,Chesterfield Farms One,3708,7405,2007,,132,38,Sold,,,https://www.redfin.com/MO/Chesterfield/208-Vonbehren-Dr-63005/home/93476504,MARIS,20064080,N,Y,38.661871,-90.5843831
PAST SALE,December-1-2022,Single Family Residential,1308 Towles Farm,Chesterfield,MO,63005,690000,4,3.0,Country Place At Chesterfield One,3526,43560,1987,,196,,Sold,,,https://www.redfin.com/MO/Chesterfield/1308-Towles-Farm-Ct-63005/home/93476792,MARIS,22024626,N,Y,38.6537344,-90.6100919
PAST SALE,March-18-2019,Single Family Residential,2626 Sun Meadow Dr,Wildwood,MO,63005,434900,4,2.5,Valley View 1,3408,20038,1979,,128,,Sold,,,https://www.redfin.com/MO/Wildwood/2626-Sun-Meadow-Dr-63005/home/93507003,MARIS,19006459,N,Y,38.611975,-90.5998255
PAST SALE,December-19-2018,Single Family Residential,933 Silver Buck Ln,Chesterfield,MO,63304,670763,5,3.5,Bur Oaks,3509,,,,191,,Sold,,,https://www.redfin.com/MO/Chesterfield/933-Silver-Buck-Ln-63005/home/148530827,MARIS,18095244,N,Y,38.6567111,-90.6395369
PAST SALE,August-14-2020,Single Family Residential,16232 Bear Branch Ct,Wildwood,MO,63005,360000,4,3.0,Chesterfield Valley 2 A Sec Of,3124,15682,1984,,115,,Sold,,,https://www.redfin.com/MO/Wildwood/16232-Bear-Branch-Ct-63005/home/93522235,MARIS,20050610,N,Y,38.6069017,-90.59805
PAST SALE,June-5-2020,Single Family Residential,840 Babler Park,Wildwood,MO,63005,1150000,3,3.0,Wildwood,2387,784080,1986,,482,,Sold,,,https://www.redfin.com/MO/Wildwood/840-Babler-Park-Dr-63005/home/172052309,MARIS,20040085,N,Y,38.620434,-90.675895
PAST SALE,,Single Family Residential,934 Silver Buck Ln,Chesterfield,MO,63005,740000,4,3.5,,4442,14985,2017,,167,,,,,https://www.redfin.com/MO/Chesterfield/934-Silver-Buck-Ln-63005/home/140414712,,,N,Y,38.6560384,-90.6389629
PAST SALE,July-27-2020,Single Family Residential,16667 Annas Way,Chesterfield,MO,63005,1000000,5,6.0,Summit At Wildhorse The,6733,84506,1996,,149,,Sold,,,https://www.redfin.com/MO/Wildwood/16667-Annas-Way-63005/home/62724775,MARIS,20043043,N,Y,38.635939,-90.6439249
PAST SALE,June-12-2018,Single Family Residential,16258 Bent Tree Dr,Chesterfield,MO,63005,435500,4,2.5,Bent Tree 1,2366,12066,1982,,184,,Sold,,,https://www.redfin.com/MO/Chesterfield/16258-Bent-Tree-Dr-63005/home/93495509,MARIS,19002959,N,Y,38.6325267,-90.5792637
PAST SALE,June-25-2021,Single Family Residential,16008 Aston Ct,Chesterfield,MO,63005,845000,5,4.5,Wilson Manors,4599,26136,1989,,184,38,Sold,,,https://www.redfin.com/MO/Chesterfield/16008-Aston-Ct-63005/home/93484578,MARIS,21026897,N,Y,38.6382925,-90.5815191
PAST SALE,July-9-2020,Single Family Residential,1143 Wildhorse Mdws,Chesterfield,MO,63005,535000,4,3.5,Spring Hill Bluffs,3566,16117,2001,,150,34,Sold,,,https://www.redfin.com/MO/Chesterfield/1143-Wildhorse-Meadows-Dr-63005/home/93624691,MARIS,20035953,N,Y,38.6595229,-90.6153464
PAST SALE,June-25-2021,Single Family Residential,17631 Myrtlewood Dr,Wildwood,MO,63005,799900,5,6.0,Wildhorse Village I Two Lts 240 &,4957,23522,1995,,161,,Sold,,,https://www.redfin.com/MO/Wildwood/17631-Myrtlewood-Dr-63005/home/93485320,MARIS,21029750,N,Y,38.6365601,-90.6351863
PAST SALE,October-8-2020,Single Family Residential,16929 Lake Mdw Unit Enclave II,Chesterfield,MO,63005,949000,0,,Fienup Farms,4000,,,,237,,Sold,,,https://www.redfin.com/MO/Chesterfield/16929-Lake-Mdw-63005/unit-Enclave-II/home/174593452,MARIS,20066409,N,Y,38.657474,-90.5997331
PAST SALE,October-31-2022,Single Family Residential,16970 Barn Owl Ln Lot 198,Chesterfield,MO,63005,1331000,5,4.5,Fienup Farms,5600,21780,,,238,,Sold,,,https://www.redfin.com/MO/Chesterfield/16970-Barn-Owl-Ln-63005/unit-198/home/177477592,MARIS,21084594,N,Y,38.659825,-90.599809
PAST SALE,June-29-2022,Single Family Residential,284 Herworth Dr,Chesterfield,MO,63005,990000,4,4.0,Forest Hills,4500,44867,1979,,220,,Sold,,,https://www.redfin.com/MO/Chesterfield/284-Herworth-Dr-63005/home/93507013,MARIS,22006056,N,Y,38.6135443,-90.5974952
PAST SALE,September-6-2022,Single Family Residential,16645 Chesterfield Manor Dr,Chesterfield,MO,63005,525000,3,2.0,Chesterfield Farms One,2190,8712,1994,,240,41,Sold,,,https://www.redfin.com/MO/Chesterfield/16645-Chesterfield-Manor-Dr-63005/home/93476496,MARIS,22036520,N,Y,38.6604249,-90.5843286
PAST SALE,May-4-2023,Single Family Residential,234 Herworth Dr,Chesterfield,MO,63005,1150000,5,4.5,Forest Hills Club Estates Area 7-A,3526,44867,1984,,326,,Sold,,,https://www.redfin.com/MO/Chesterfield/234-Herworth-Dr-63005/home/93505756,MARIS,23012754,N,Y,38.6118554,-90.5951464
PAST SALE,March-29-2023,Single Family Residential,153 Brighthurst Dr,Chesterfield,MO,63005,639000,4,2.5,Chesterfield Farms Two,2523,7841,1994,,253,50,Sold,,,https://www.redfin.com/MO/Chesterfield/153-Brighthurst-Dr-63005/home/93467369,MARIS,23003229,N,Y,38.6629823,-90.5916883
PAST SALE,March-1-2022,Single Family Residential,1410 Country Lake Estates Dr,Chesterfield,MO,63005,1195000,6,6.0,Country Lake Estates,6702,36155,1997,,178,63,Sold,,,https://www.redfin.com/MO/Chesterfield/1410-Country-Lake-Estates-Dr-63005/home/93476588,MARIS,21086970,N,Y,38.6494089,-90.6226001
PAST SALE,August-19-2019,Single Family Residential,16706 Chesterfield Mnr,Chesterfield,MO,63005,510000,4,3.0,Chesterfield Farms One,3577,9148,1994,,143,,Sold,,,https://www.redfin.com/MO/Chesterfield/16706-Chesterfield-Manor-Dr-63005/home/93476614,MARIS,19062324,N,Y,38.6599954,-90.587241
PAST SALE,August-16-2022,Condo/Co-op,14300 Conway Meadows Ct #308,St Louis,MO,63005,325000,3,2.0,Conway Meadows,2400,,1982,,135,,Sold,,,https://www.redfin.com/MO/St-Louis/14300-Conway-Meadows-CT-63005/unit-308/home/183801006,MARIS,23002092,N,Y,38.6299452,-90.6962853
PAST SALE,April-21-2022,Single Family Residential,16121 Walnut Hill Farm Dr,Chesterfield,MO,63005,975000,6,4.5,US Surv 2760,7720,182952,1974,,126,4,Sold,,,https://www.redfin.com/MO/Chesterfield/16121-Walnut-Hill-Farm-Dr-63005/home/85052073,MARIS,22024850,N,Y,38.6514645,-90.5893769
PAST SALE,June-25-2020,Single Family Residential,1119 Wildhorse Meadows Dr,Chesterfield,MO,63005,600000,4,4.0,Spring Hill Bluffs,4398,23958,1998,,136,34,Sold,,,https://www.redfin.com/MO/Chesterfield/1119-Wildhorse-Meadows-Dr-63005/home/93626817,MARIS,20021338,N,Y,38.6577391,-90.615772
PAST SALE,July-23-2020,Single Family Residential,344 Wild Horse Canyon Dr,Wildwood,MO,63005,775000,4,3.5,Wild Horse Canyon,3409,152460,1993,,227,,Sold,,,https://www.redfin.com/MO/Wildwood/344-Wild-Horse-Canyon-Dr-63005/home/62693441,MARIS,20043059,N,Y,38.6409893,-90.6640013
PAST SALE,May-23-2022,Single Family Residential,349 Larimore Vly,Wildwood,MO,63005,2030166,4,4.5,Wildhorse Spring Farm Nine,6099,82764,,,333,,Sold,,,https://www.redfin.com/MO/Wildwood/349-Larimore-Valley-Dr-63005/home/66597743,MARIS,22029952,N,Y,38.637272,-90.683148
PAST SALE,June-25-2018,Single Family Residential,15905 Craddock Way,Chesterfield,MO,63005,460000,4,2.5,Chesterfield Meadow One,2749,22651,1978,,167,30,Sold,,,https://www.redfin.com/MO/Chesterfield/15905-Craddock-Way-63005/home/93484609,MARIS,18051382,N,Y,38.6362069,-90.5765833
PAST SALE,August-5-2020,Single Family Residential,1225 Fienup Lake Dr,Chesterfield,MO,63005,770610,6,5.0,Fienup Farms,3546,,,,217,125,Sold,,,https://www.redfin.com/MO/Chesterfield/1225-Fienup-Lake-Dr-63005/home/172663761,MARIS,20055918,N,Y,38.6592397,-90.5979331
PAST SALE,June-6-2022,Single Family Residential,16200 Wynncrest Ridge Ct,Wildwood,MO,63005,799900,5,5.0,Wynncrest Three,6804,25700,2003,,118,63,Sold,,,https://www.redfin.com/MO/Wildwood/16200-Wynncrest-Ridge-Ct-63005/home/93318529,MARIS,22001410,N,Y,38.6113152,-90.6046162
PAST SALE,June-29-2022,Single Family Residential,17019 Lakeside Rdg Lot 220,Chesterfield,MO,63005,1331000,5,4.5,Fienup Farms,5600,21780,,,238,,Sold,,,https://www.redfin.com/MO/Chesterfield/17019-Lakeside-Rdg-63005/unit-220/home/176181810,MARIS,21060717,N,Y,38.658871,-90.6031018
PAST SALE,July-15-2021,Single Family Residential,1336 Westhampton Woods Ct,Wildwood,MO,63005,600000,4,3.5,Westhampton Woods One,3660,21344,1996,,164,18,Sold,,,https://www.redfin.com/MO/Wildwood/1336-Westhampton-Woods-Ct-63005/home/93496322,MARIS,21018416,N,Y,38.6221758,-90.6542767
PAST SALE,February-26-2021,Single Family Residential,1237 Fienup Lake Dr,Chesterfield,MO,63005,665589,4,2.5,Fienup Farms,3215,,,,207,125,Sold,,,https://www.redfin.com/MO/Chesterfield/1237-Fienup-Lake-Dr-63005/home/174603611,MARIS,21012988,N,Y,38.6586298,-90.5979575
PAST SALE,March-25-2021,Single Family Residential,17517 Melanie Ridge Ct,Wildwood,MO,63005,665000,4,4.5,Highlands Of Chesterfield Highland,4607,22216,1997,,144,72,Sold,,,https://www.redfin.com/MO/Wildwood/17517-Melanie-Ridge-Ct-63005/home/62702113,MARIS,21009762,N,Y,38.6348067,-90.6298367
PAST SALE,April-21-2021,Single Family Residential,17925 Homestead Bluffs Dr,Wildwood,MO,63005,915000,4,4.5,Homestead Estates,5753,52620,2007,,159,104,Sold,,,https://www.redfin.com/MO/Wildwood/17925-Homestead-Bluffs-Dr-63005/home/93328296,MARIS,21025747,N,Y,38.6007116,-90.6703004
PAST SALE,March-21-2022,Single Family Residential,2636 Wynncrest Ridge Ct,Wildwood,MO,63005,875000,5,4.5,Wynncrest Two,6864,19994,2003,,127,,Sold,,,https://www.redfin.com/MO/Wildwood/2636-Wynncrest-Ridge-Dr-63005/home/93318513,MARIS,22007096,N,Y,38.6090062,-90.60728
PAST SALE,June-29-2021,Single Family Residential,381 Herworth Ct,Chesterfield,MO,63005,529900,4,3.5,Forest Hills Club Estates,4443,55321,1979,,119,46,Sold,,,https://www.redfin.com/MO/Chesterfield/381-Herworth-Ct-63005/home/93507637,MARIS,21030718,N,Y,38.6159981,-90.5985309
PAST SALE,May-17-2021,Single Family Residential,1537 Honey Locust Ct,Wildwood,MO,63005,749900,5,4.5,Wildhorse Village I One,6236,23522,1993,,120,67,Sold,,,https://www.redfin.com/MO/Wildwood/1537-Honey-Locust-Ct-63005/home/62761936,MARIS,21008135,N,Y,38.6377129,-90.6341497
PAST SALE,January-26-2021,Single Family Residential,16805 Pacland Pl,Chesterfield,MO,63005,775000,4,4.0,Hennemeyer Acres,3843,132858,1984,,202,,Sold,,,https://www.redfin.com/MO/Chesterfield/16805-Pacland-Pl-63005/home/93484894,MARIS,20044023,N,Y,38.6475574,-90.6163826
PAST SALE,December-27-2019,Single Family Residential,16945 Lake Meadow Dr Lot 210,Chesterfield,MO,63305,1240000,4,4.0,Fienup Farms,5308,,,,234,,Sold,,,https://www.redfin.com/MO/Chesterfield/16945-Lake-Mdw-63005/unit-210/home/174592411,MARIS,19090600,N,Y,38.6572599,-90.6010487
PAST SALE,,Single Family Residential,16252 Windfall Ridge Ct,Chesterfield,MO,63005,,3,2.5,,2192,14375,1982,,,,Sold,,,https://www.redfin.com/MO/Chesterfield/16252-Windfall-Ridge-Dr-63005/home/84625972,MARIS,,N,Y,38.6335591,-90.5776369
